timestamp_ms,process_cpu_percent,process_rss_bytes,process_vms_bytes,system_cpu_percent
1786957806325,2.0,34254848,277643264,0.0
1786957806829,2.0,34254848,277643264,1.0
1786957807332,2.0,34254848,277643264,0.5
1786957807836,2.0,34254848,277643264,1.5
1786957808339,2.0,34254848,277643264,0.0
1786957808843,2.0,34254848,277643264,1.0
1786957809347,0.0,34254848,277643264,0.5
1786957809851,4.0,34254848,277643264,1.0
1786957810355,2.0,34254848,277643264,0.5
1786957810858,2.0,34254848,277643264,0.0
1786957811362,0.0,34254848,277643264,0.5
1786957811865,2.0,34254848,277643264,2.0
1786957812369,2.0,34254848,277643264,0.0
1786957812872,2.0,34254848,277643264,1.5
1786957813377,0.0,34254848,277643264,0.0
1786957813880,6.0,34254848,277643264,1.0
1786957814384,0.0,34254848,277643264,0.0
1786957814887,0.0,34254848,277643264,2.5
1786957815391,2.0,34254848,277643264,0.5
1786957815894,2.0,34254848,277643264,1.0
1786957816398,2.0,34254848,277643264,0.0
1786957816902,4.0,34254848,277643264,1.5
1786957817405,0.0,34254848,277643264,0.5
1786957817908,4.0,34254848,277643264,0.5
1786957818413,0.0,34254848,277643264,0.5
1786957818916,2.0,34254848,277643264,1.0
1786957819419,2.0,34254848,277643264,0.0
1786957819922,2.0,34254848,277643264,1.5
1786957820426,0.0,34254848,277643264,0.5
1786957820929,4.0,34254848,277643264,2.0
1786957821432,2.0,34254848,277643264,0.5
1786957821936,2.0,34254848,277643264,1.5
1786957822439,0.0,34254848,277643264,1.0
1786957822943,2.0,34254848,277643264,1.0
1786957823445,2.0,34254848,277643264,0.5
1786957823951,2.0,34254848,277643264,2.0
1786957824455,2.0,34254848,277643264,0.5
1786957824959,2.0,34254848,277643264,1.5
1786957825462,2.0,34254848,277643264,1.0
1786957825965,2.0,34254848,277643264,1.5
1786957826468,0.0,34254848,277643264,0.5
1786957826971,2.0,34254848,277643264,1.5
1786957827474,2.0,34254848,277643264,0.0
1786957827977,2.0,34254848,277643264,1.5
1786957828480,2.0,34254848,277643264,1.0
1786957828983,2.0,34254848,277643264,1.0
1786957829486,2.0,34254848,277643264,0.5
1786957829990,2.0,34254848,277643264,1.5
1786957830493,0.0,34254848,277643264,1.0
1786957830996,2.0,34254848,277643264,0.5
1786957831499,2.0,34254848,277643264,0.5
1786957832004,2.0,34254848,277643264,1.5
1786957832507,2.0,34254848,277643264,0.0
1786957833011,2.0,34254848,277643264,1.5
1786957833515,2.0,34254848,277643264,0.0
1786957834018,2.0,34254848,277643264,1.0
1786957834522,0.0,34254848,277643264,1.0
1786957835025,2.0,34254848,277643264,0.5
1786957835529,2.0,34254848,277643264,0.0
1786957836032,2.0,34254848,277643264,1.0
1786957836535,2.0,34254848,277643264,1.0
1786957837038,0.0,34254848,277643264,1.0
1786957837541,2.0,34254848,277643264,1.0
1786957838045,4.0,34254848,277643264,1.5
1786957838547,0.0,34254848,277643264,0.5
1786957839051,2.0,34254848,277643264,1.5
1786957839554,2.0,34254848,277643264,0.0
1786957840057,2.0,34254848,277643264,0.5
1786957840561,2.0,34254848,277643264,1.0
1786957841064,2.0,34254848,277643264,1.0
1786957841568,2.0,34254848,277643264,0.5
1786957842072,2.0,34254848,277643264,0.5
1786957842575,0.0,34254848,277643264,0.5
1786957843079,2.0,34254848,277643264,2.0
1786957843582,2.0,34254848,277643264,0.5
1786957844086,2.0,34254848,277643264,0.5
1786957844589,2.0,34254848,277643264,1.0
1786957845093,2.0,34254848,277643264,1.5
1786957845596,2.0,34254848,277643264,0.5
1786957846100,2.0,34254848,277643264,1.0
1786957846603,0.0,34254848,277643264,1.0
1786957847108,4.0,34254848,277643264,0.5
1786957847612,0.0,34254848,277643264,0.0
1786957848118,2.0,34254848,277643264,1.0
1786957848622,4.0,34254848,277643264,1.0
1786957849127,2.0,34254848,277643264,1.5
1786957849630,2.0,34254848,277643264,0.0
1786957850134,2.0,34254848,277643264,1.5
1786957850637,0.0,34254848,277643264,1.0
1786957851141,2.0,34254848,277643264,1.0
1786957851644,2.0,34254848,277643264,0.5
1786957852147,2.0,34254848,277643264,1.0
1786957852651,2.0,34254848,277643264,0.5
1786957853155,2.0,34254848,277643264,0.5
1786957853659,0.0,34254848,277643264,1.0
1786957854163,2.0,34254848,277643264,0.0
1786957854667,4.0,34254848,277643264,1.5
1786957855170,0.0,34254848,277643264,0.5
1786957855674,2.0,34254848,277643264,0.5
1786957856177,2.0,34254848,277643264,1.0
1786957856681,0.0,34254848,277643264,1.5
1786957857184,4.0,34254848,277643264,0.5
1786957857688,2.0,34254848,277643264,0.5
1786957858192,2.0,34254848,277643264,0.5
1786957858695,2.0,34254848,277643264,1.0
1786957859200,0.0,34254848,277643264,0.5
1786957859704,2.0,34254848,277643264,1.0
1786957860208,2.0,34254848,277643264,0.5
1786957860711,2.0,34254848,277643264,2.0
1786957861215,2.0,34254848,277643264,0.5
1786957861718,2.0,34254848,277643264,0.5
1786957862222,2.0,34254848,277643264,0.0
1786957862725,2.0,34254848,277643264,1.5
1786957863229,2.0,34254848,277643264,1.0
1786957863733,0.0,34254848,277643264,1.0
1786957864236,2.0,34254848,277643264,0.5
1786957864740,2.0,34254848,277643264,1.0
1786957865244,2.0,34254848,277643264,0.5
1786957865748,0.0,34254848,277643264,1.0
1786957866252,4.0,34254848,277643264,1.5
